id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-6-23-49-0-3833,2,-852,-22692,6384,-1456,-1089,1012
1,2020-9-6-23-49-0-3863,3,2468,-16172,-5640,-2096,-81,37
2,2020-9-6-23-49-0-4060,4,14384,-676,9048,-1936,-225,-599
3,2020-9-6-23-49-0-4105,1,5320,436,13960,-1456,-471,-475
4,2020-9-6-23-49-0-4313,2,1924,-20440,-900,-1440,-23,1582
5,2020-9-6-23-49-0-4372,3,2672,-15412,-5796,-2096,-320,-95
6,2020-9-6-23-49-0-4556,4,16224,-860,9164,-1952,-596,-1244
7,2020-9-6-23-49-0-4599,1,6584,308,12956,-1440,-1088,516
8,2020-9-6-23-49-1-4807,2,-3344,-9980,196,-1424,-216,432
9,2020-9-6-23-49-1-4870,3,2700,-15692,-5696,-2112,-241,-258
10,2020-9-6-23-49-1-5058,4,15296,-868,6928,-1936,61,-1846
11,2020-9-6-23-49-1-5126,1,4224,-776,13140,-1520,-2836,3951
12,2020-9-6-23-49-1-5306,2,-3640,-11316,-1456,-1440,-338,-974
13,2020-9-6-23-49-1-5370,3,2580,-15932,-5540,-2096,-106,5
14,2020-9-6-23-49-1-5565,4,16212,-1904,7916,-1936,-900,1774
15,2020-9-6-23-49-1-5601,1,2756,-2052,15180,-1472,-256,-4561
16,2020-9-6-23-49-2-5809,2,-236,-26132,6660,-1456,-897,-936
17,2020-9-6-23-49-2-5875,3,2512,-16100,-5752,-2144,-187,24
18,2020-9-6-23-49-2-6063,4,14820,-784,8192,-1936,-107,-585
19,2020-9-6-23-49-2-6102,1,4644,300,14032,-1488,613,2806
20,2020-9-6-23-49-2-6312,2,300,-17708,8,-1456,49,3332
21,2020-9-6-23-49-2-6376,3,2776,-15424,-5772,-2112,-557,-110
22,2020-9-6-23-49-2-6565,4,14844,-668,6968,-1936,-272,-669
23,2020-9-6-23-49-2-6604,1,5028,304,14480,-1488,163,-1459
24,2020-9-6-23-49-3-6815,2,-3816,-8520,-492,-1440,-419,-98
25,2020-9-6-23-49-3-6876,3,2776,-15652,-5868,-2096,-454,-238
26,2020-9-6-23-49-3-7071,4,15624,-1164,5924,-1904,-2142,1339
27,2020-9-6-23-49-3-7107,1,2436,-328,14680,-1504,36,8511
28,2020-9-6-23-49-3-7316,2,-3916,-9928,-1404,-1440,63,-1599
29,2020-9-6-23-49-3-7378,3,2424,-15856,-5756,-2096,-195,-53
30,2020-9-6-23-49-3-7571,4,14588,-372,8136,-1920,-1220,-2619
31,2020-9-6-23-49-3-7610,1,4096,-72,14616,-1488,-562,-669
32,2020-9-6-23-49-4-7816,2,-1092,-20080,5364,-1456,-1600,1837
33,2020-9-6-23-49-4-7879,3,2476,-16300,-5564,-2128,-41,-30
34,2020-9-6-23-49-4-8073,4,14852,-944,6596,-1936,-105,1555
35,2020-9-6-23-49-4-8110,1,5384,560,13532,-1456,-557,-1380
36,2020-9-6-23-49-4-8318,2,2388,-20736,-1568,-1424,-13,591
37,2020-9-6-23-49-4-8379,3,2712,-15384,-5752,-2096,-364,-50
38,2020-9-6-23-49-4-8573,4,14352,-388,8216,-1952,-343,1185
39,2020-9-6-23-49-5-8612,1,6804,784,12948,-1472,-752,99
40,2020-9-6-23-49-5-8819,2,-3332,-10484,864,-1456,-189,1281
41,2020-9-6-23-49-5-8881,3,2728,-15568,-5836,-2128,-519,-175
42,2020-9-6-23-49-5-9075,4,14756,-296,8316,-1904,-417,-381
43,2020-9-6-23-49-5-9115,1,6036,748,13480,-1456,-615,230
44,2020-9-6-23-49-5-9321,2,-3056,-11816,-756,-1440,-316,-745
45,2020-9-6-23-49-5-9384,3,2620,-15980,-5668,-2112,-205,3
46,2020-9-6-23-49-5-9575,4,14816,-948,8188,-1936,225,275
47,2020-9-6-23-49-6-9621,1,5480,-136,14544,-1520,2842,-1279
48,2020-9-6-23-49-6-9824,2,-728,-17840,2388,-1424,3082,1069
49,2020-9-6-23-49-6-9885,3,2668,-15436,-7064,-2096,211,2959
50,2020-9-6-23-49-6-10080,4,16160,-1200,8404,-1952,-2722,-7086
51,2020-9-6-23-49-6-10117,1,14148,2712,-2020,-1488,18563,-10239
52,2020-9-6-23-49-6-10326,2,1176,-14488,4856,-1440,1113,192
53,2020-9-6-23-49-6-10387,3,-3316,-18056,5804,-2128,4523,-8408
54,2020-9-6-23-49-6-10580,4,15380,-1296,7088,-1904,-1446,-193
55,2020-9-6-23-49-7-10620,1,17224,-3580,-7920,-1472,4836,-4408
56,2020-9-6-23-49-7-10830,2,232,-17796,3652,-1456,-12540,4181
57,2020-9-6-23-49-7-10890,3,-2204,-14368,-2132,-2144,345,-36
58,2020-9-6-23-49-7-11082,4,15676,-856,8412,-1904,2039,-58
59,2020-9-6-23-49-7-11122,1,9820,-11844,-8656,-1472,-84,88
